nation | o_year | sum_profit
ALGERIA | 1998 | 29970541.51
ALGERIA | 1997 | 51155411.72
ALGERIA | 1996 | 53555246.54
ALGERIA | 1995 | 49854804.29
ALGERIA | 1994 | 49562664.04
ALGERIA | 1993 | 48541473.01
ALGERIA | 1992 | 48806651.40
ARGENTINA | 1998 | 28799593.28
ARGENTINA | 1997 | 48549170.44
ARGENTINA | 1996 | 47640512.58
ARGENTINA | 1995 | 46977464.82
ARGENTINA | 1994 | 47439002.79
ARGENTINA | 1993 | 49132020.37
ARGENTINA | 1992 | 45422296.53
BRAZIL | 1998 | 26304333.12
BRAZIL | 1997 | 46250740.00
BRAZIL | 1996 | 46656493.93
BRAZIL | 1995 | 47083728.20
BRAZIL | 1994 | 48591465.62
BRAZIL | 1993 | 44755580.54
BRAZIL | 1992 | 44207380.23
CANADA | 1998 | 29130459.59
CANADA | 1997 | 47731743.95
CANADA | 1996 | 52437529.64
CANADA | 1995 | 50695431.15
CANADA | 1994 | 49025899.00
CANADA | 1993 | 48502936.80
CANADA | 1992 | 47637409.73
CHINA | 1998 | 25658183.95
CHINA | 1997 | 45160553.77
CHINA | 1996 | 46328145.81
CHINA | 1995 | 45001731.98
CHINA | 1994 | 45323509.87
CHINA | 1993 | 47500936.60
CHINA | 1992 | 45155856.77
EGYPT | 1998 | 29526853.55
EGYPT | 1997 | 46409391.45
EGYPT | 1996 | 49104302.96
EGYPT | 1995 | 49658706.39
EGYPT | 1994 | 49635725.39
EGYPT | 1993 | 51256043.89
EGYPT | 1992 | 50474860.78
ETHIOPIA | 1998 | 25789057.38
ETHIOPIA | 1997 | 46003204.73
ETHIOPIA | 1996 | 42622173.91
ETHIOPIA | 1995 | 46090005.83
ETHIOPIA | 1994 | 44242478.10
ETHIOPIA | 1993 | 43360299.72
ETHIOPIA | 1992 | 45924451.81
FRANCE | 1998 | 26271868.22
FRANCE | 1997 | 44835928.54
FRANCE | 1996 | 45360274.18
FRANCE | 1995 | 45074391.79
FRANCE | 1994 | 45591656.57
FRANCE | 1993 | 46859106.79
FRANCE | 1992 | 45411250.88
GERMANY | 1998 | 27117725.84
GERMANY | 1997 | 41721717.74
GERMANY | 1996 | 44213144.91
GERMANY | 1995 | 45420659.05
GERMANY | 1994 | 45181148.79
GERMANY | 1993 | 46583730.25
GERMANY | 1992 | 46775491.45
INDIA | 1998 | 28852576.04
INDIA | 1997 | 46343112.88
INDIA | 1996 | 47419394.77
INDIA | 1995 | 45648034.70
INDIA | 1994 | 49170602.89
INDIA | 1993 | 44788679.40
INDIA | 1992 | 45887867.96
INDONESIA | 1998 | 27236964.87
INDONESIA | 1997 | 44326109.97
INDONESIA | 1996 | 44984979.80
INDONESIA | 1995 | 47113149.57
INDONESIA | 1994 | 44243579.31
INDONESIA | 1993 | 45711142.69
INDONESIA | 1992 | 45436173.61
IRAN | 1998 | 26297204.86
IRAN | 1997 | 44085539.53
IRAN | 1996 | 42975168.85
IRAN | 1995 | 46696181.82
IRAN | 1994 | 42968188.40
IRAN | 1993 | 44672645.81
IRAN | 1992 | 43403214.86
IRAQ | 1998 | 28524603.51
IRAQ | 1997 | 48989612.38
IRAQ | 1996 | 48311914.18
IRAQ | 1995 | 51548221.35
IRAQ | 1994 | 48131973.91
IRAQ | 1993 | 47902352.85
IRAQ | 1992 | 47157132.88
JAPAN | 1998 | 24957075.03
JAPAN | 1997 | 42061448.18
JAPAN | 1996 | 42403614.08
JAPAN | 1995 | 45995694.68
JAPAN | 1994 | 42732253.14
JAPAN | 1993 | 40686490.69
JAPAN | 1992 | 42786235.39
JORDAN | 1998 | 23932735.37
JORDAN | 1997 | 41361388.63
JORDAN | 1996 | 42475422.96
JORDAN | 1995 | 43364812.63
JORDAN | 1994 | 41865260.34
JORDAN | 1993 | 42299463.72
JORDAN | 1992 | 41453372.78
KENYA | 1998 | 23535832.43
KENYA | 1997 | 41703842.80
KENYA | 1996 | 40022661.02
KENYA | 1995 | 40495059.41
KENYA | 1994 | 40223449.69
KENYA | 1993 | 42299002.57
KENYA | 1992 | 40235865.72
MOROCCO | 1998 | 25824819.28
MOROCCO | 1997 | 44030341.54
MOROCCO | 1996 | 44972344.70
MOROCCO | 1995 | 45128800.12
MOROCCO | 1994 | 44917629.22
MOROCCO | 1993 | 44157792.82
MOROCCO | 1992 | 44836426.02
MOZAMBIQUE | 1998 | 28956476.54
MOZAMBIQUE | 1997 | 49795924.23
MOZAMBIQUE | 1996 | 51539061.66
MOZAMBIQUE | 1995 | 50755880.75
MOZAMBIQUE | 1994 | 46508313.25
MOZAMBIQUE | 1993 | 50351564.35
MOZAMBIQUE | 1992 | 48365387.54
PERU | 1998 | 27194249.40
PERU | 1997 | 46979440.49
PERU | 1996 | 47047066.55
PERU | 1995 | 48294053.01
PERU | 1994 | 47749753.21
PERU | 1993 | 48193336.43
PERU | 1992 | 50105076.36
ROMANIA | 1998 | 27791970.38
ROMANIA | 1997 | 45018141.23
ROMANIA | 1996 | 45756748.35
ROMANIA | 1995 | 44703048.17
ROMANIA | 1994 | 47787993.21
ROMANIA | 1993 | 43715577.87
ROMANIA | 1992 | 47282791.65
RUSSIA | 1998 | 27648893.48
RUSSIA | 1997 | 44252150.12
RUSSIA | 1996 | 47580586.27
RUSSIA | 1995 | 46055559.07
RUSSIA | 1994 | 46669480.75
RUSSIA | 1993 | 44052075.04
RUSSIA | 1992 | 46711973.38
SAUDI ARABIA | 1998 | 28670063.71
SAUDI ARABIA | 1997 | 48664876.58
SAUDI ARABIA | 1996 | 51248036.52
SAUDI ARABIA | 1995 | 46423806.20
SAUDI ARABIA | 1994 | 47601337.20
SAUDI ARABIA | 1993 | 49263456.80
SAUDI ARABIA | 1992 | 50245878.00
UNITED KINGDOM | 1998 | 24661905.70
UNITED KINGDOM | 1997 | 44292438.66
UNITED KINGDOM | 1996 | 42420599.53
UNITED KINGDOM | 1995 | 44124447.15
UNITED KINGDOM | 1994 | 39949152.38
UNITED KINGDOM | 1993 | 43222128.84
UNITED KINGDOM | 1992 | 44053659.31
UNITED STATES | 1998 | 27699618.36
UNITED STATES | 1997 | 46498619.77
UNITED STATES | 1996 | 45516421.18
UNITED STATES | 1995 | 48233898.31
UNITED STATES | 1994 | 45157253.09
UNITED STATES | 1993 | 47348572.37
UNITED STATES | 1992 | 46107283.98
VIETNAM | 1998 | 26243795.30
VIETNAM | 1997 | 43524865.43
VIETNAM | 1996 | 46739995.25
VIETNAM | 1995 | 46073671.53
VIETNAM | 1994 | 46164825.26
VIETNAM | 1993 | 45410616.77
VIETNAM | 1992 | 46162550.23
